frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h" 
2021,1145310.0,-708.6600341796875,4749.0,708.6600341796875
2022,1145300.0,-708.6600341796875,4802.00048828125,708.6600341796875
2023,1145290.0,-713.2318115234375,4802.00048828125,713.2318115234375
2024,1145280.0,-713.2320556640625,4809.0,713.2320556640625
2025,1145270.0,-713.4102783203125,4767.0,713.4102783203125
2026,1145260.0,-710.946044921875,4705.0,710.946044921875
2027,1145250.0,-712.3552856445312,4578.0,712.3552856445312
2028,1145240.0,-713.2914428710938,4440.6669921875,713.2914428710938
2029,1145230.0,-713.4102783203125,4467.0,713.4102783203125
2030,1145220.0,-713.2320556640625,4467.0,713.2320556640625
2031,1145210.0,-715.8753662109375,4454.0,715.8753662109375
2032,1145200.0,-713.2320556640625,4465.0,713.2320556640625
2033,1145190.0,-713.4102783203125,4591.5,713.4102783203125
2034,1145180.0,-713.321044921875,4620.00048828125,713.321044921875
2035,1145170.0,-713.410400390625,4639.33349609375,713.410400390625
2036,1145160.0,-711.05712890625,4710.75,711.05712890625
2037,1145150.0,-705.6708984375,4797.08349609375,705.6708984375
2038,1145140.0,-703.0327758789062,4820.25,703.0327758789062
2039,1145130.0,-699.632568359375,4864.0,699.632568359375
2040,1145120.0,-698.46044921875,4910.75048828125,698.46044921875
2041,1145110.0,-698.7830810546875,4960.66650390625,698.7830810546875
2042,1145100.0,-697.6871948242188,4920.60009765625,697.6871948242188
2043,1145090.0,-692.657958984375,4936.5,692.657958984375
2044,1145080.0,-699.6041259765625,4928.0,699.6041259765625
2045,1145070.0,-704.0880737304688,4906.0,704.0880737304688
2046,1145060.0,-694.94384765625,4906.0,694.94384765625
2047,1145050.0,-695.1177368164062,4914.0,695.1177368164062
2048,1145040.0,-697.2300415039062,4902.00048828125,697.2300415039062
2049,1145030.0,-699.69091796875,4935.0,699.69091796875
2050,1145020.0,-699.5158081054688,5016.0,699.5158081054688
2051,1145010.0,-697.31689453125,5037.0,697.31689453125
2052,1145000.0,-694.9440307617188,5067.0,694.9440307617188
2053,1144990.0,-701.8020629882812,5078.0,701.8020629882812
2054,1144980.0,-704.2640380859375,5053.0,704.2640380859375
2055,1144970.0,-704.0879516601562,4999.49951171875,704.0879516601562
2056,1144960.0,-699.5160522460938,4884.0,699.5160522460938
2057,1144950.0,-704.0880737304688,4884.0,704.0880737304688
2058,1144940.0,-704.2640380859375,4855.00048828125,704.2640380859375
2059,1144930.0,-708.6598510742188,4797.0,708.6598510742188
2060,1144920.0,-713.2320556640625,4797.0,713.2320556640625
