frameNumber,"TDEP, 0.1 in","EHGR_EDTC, gAPI","HGR_EDTC, gAPI"
122,1156680.0,6443.5947265625,4102.6533203125
123,1156660.0,6495.53466796875,4135.7236328125
124,1156640.0,6526.1044921875,4155.1875
125,1156620.0,6574.89013671875,4186.24951171875
126,1156600.0,6618.19970703125,4213.82470703125
127,1156580.0,6653.8876953125,4236.54736328125
128,1156560.0,6672.2939453125,4248.2666015625
129,1156540.0,6713.291015625,4274.36962890625
130,1156520.0,6749.427734375,4297.3779296875
131,1156500.0,6817.37939453125,4340.64306640625
132,1156480.0,6857.23193359375,4366.01708984375
133,1156460.0,6928.9130859375,4411.65673828125
134,1156440.0,6944.98681640625,4421.89111328125
135,1156420.0,6965.62158203125,4435.029296875
136,1156400.0,6953.3017578125,4427.18505859375
137,1156380.0,7010.89501953125,4463.85498046875
138,1156360.0,7082.43359375,4509.40380859375
139,1156340.0,7238.0673828125,4608.49609375
140,1156320.0,7419.11767578125,4723.771484375
141,1156300.0,7583.6337890625,4828.51904296875
142,1156280.0,7761.77294921875,4941.94091796875
143,1156260.0,7927.22216796875,5047.28271484375
144,1156240.0,8130.6982421875,5176.83642578125
145,1156220.0,8275.6767578125,5269.14453125
146,1156200.0,8461.037109375,5387.1640625
147,1156180.0,8582.3310546875,5464.392578125
148,1156160.0,8742.3359375,5566.26806640625
149,1156140.0,8908.7822265625,5672.24462890625
150,1156120.0,9133.677734375,5815.43603515625
151,1156100.0,9365.6865234375,5963.15673828125
152,1156080.0,9580.470703125,6099.91015625
153,1156060.0,9864.79296875,6280.93896484375
154,1156040.0,10166.34765625,6472.93994140625
155,1156020.0,10483.1552734375,6674.65185546875
156,1156000.0,10832.7958984375,6897.26904296875
157,1155980.0,11252.8955078125,7164.74755859375
158,1155960.0,11721.0419921875,7462.81787109375
159,1155940.0,12220.2763671875,7780.68115234375
160,1155920.0,12705.7119140625,8089.75927734375
161,1155900.0,13187.8759765625,8396.7548828125
162,1155880.0,13614.3564453125,8668.2958984375
163,1155860.0,13959.6474609375,8888.1435546875
164,1155840.0,14233.1591796875,9062.2890625
165,1155820.0,14473.5810546875,9215.3662109375
166,1155800.0,14581.2197265625,9283.900390625
167,1155780.0,14619.3330078125,9308.1669921875
168,1155760.0,14559.634765625,9270.1572265625
169,1155740.0,14571.6611328125,9277.814453125
170,1155720.0,14536.9228515625,9255.6962890625
171,1155700.0,14504.4501953125,9235.0205078125
172,1155680.0,14394.6953125,9165.1396484375
173,1155660.0,14208.236328125,9046.4208984375
174,1155640.0,13909.408203125,8856.15625
175,1155620.0,13537.5908203125,8619.4189453125
176,1155600.0,13090.5546875,8334.7900390625
177,1155580.0,12614.0712890625,8031.41162109375
178,1155560.0,12034.5791015625,7662.447265625
179,1155540.0,11424.802734375,7274.201171875
180,1155520.0,10789.9140625,6869.96630859375
181,1155500.0,10171.8408203125,6476.4375
182,1155480.0,9631.462890625,6132.37744140625
183,1155460.0,9250.431640625,5889.7734375
184,1155440.0,8889.8056640625,5660.162109375
185,1155420.0,8473.81640625,5395.30078125
186,1155400.0,7848.55224609375,4997.193359375
187,1155380.0,7269.4462890625,4628.47509765625
188,1155360.0,6671.5537109375,4247.79541015625
189,1155340.0,5983.658203125,3809.810546875
190,1155320.0,5178.6787109375,3297.278076171875
191,1155300.0,4434.65234375,2823.554443359375
192,1155280.0,3771.80322265625,2401.516845703125
193,1155260.0,3109.904296875,1980.0841064453125
194,1155240.0,2385.12255859375,1518.6136474609375
195,1155220.0,1678.6591796875,1068.806640625
196,1155200.0,1105.7098388671875,704.00830078125
197,1155180.0,593.8966064453125,378.135498046875
198,1155160.0,274.0701599121094,174.5011749267578
199,1155140.0,87.36957550048828,55.62843322753906
200,1155120.0,74.36363983154297,47.3475227355957
201,1155100.0,70.3693618774414,44.804351806640625
202,1155080.0,72.92828369140625,46.433624267578125
203,1155060.0,80.21481323242188,51.07297897338867
204,1155040.0,88.6741943359375,56.45908737182617
205,1155020.0,94.99781036376953,60.4853515625
206,1155000.0,91.63766479492188,58.3459358215332
207,1154980.0,87.3609390258789,55.6229362487793
208,1154960.0,87.0280990600586,55.411014556884766
209,1154940.0,95.506591796875,60.80929183959961
210,1154920.0,110.67249298095703,70.46546173095703
211,1154900.0,127.94641876220703,81.46381378173828
212,1154880.0,142.24302673339844,90.5665054321289
213,1154860.0,145.0275115966797,92.33939361572266
214,1154840.0,146.23255920410156,93.10665130615234
215,1154820.0,146.1485595703125,93.05316162109375
216,1154800.0,147.29444885253906,93.78275299072266
217,1154780.0,146.6742706298828,93.38788604736328
218,1154760.0,152.01560974121094,96.78872680664062
219,1154740.0,164.943359375,105.01985931396484
220,1154720.0,176.4424591064453,112.34136962890625
221,1154700.0,184.7130584716797,117.6072769165039
222,1154680.0,184.82911682128906,117.6811752319336
223,1154660.0,176.23141479492188,112.20699310302734
224,1154640.0,159.39271545410156,101.48574829101562
225,1154620.0,138.76051330566406,88.34917449951172
226,1154600.0,129.69334411621094,82.57608795166016
227,1154580.0,117.01997375488281,74.50691986083984
228,1154560.0,105.46475219726562,67.1496810913086
229,1154540.0,90.0359878540039,57.32614517211914
230,1154520.0,85.36351013183594,54.351165771484375
231,1154500.0,82.12605285644531,52.28987121582031
232,1154480.0,76.12350463867188,48.46803283691406
233,1154460.0,64.85009765625,41.290225982666016
234,1154440.0,60.72197723388672,38.66183853149414
235,1154420.0,66.9260025024414,42.61195755004883
236,1154400.0,82.11849975585938,52.28506088256836
237,1154380.0,93.50606536865234,59.535552978515625
238,1154360.0,99.79087829589844,63.537109375
239,1154340.0,98.01597595214844,62.40702438354492
240,1154320.0,96.5643310546875,61.482757568359375
241,1154300.0,90.54671478271484,57.65132522583008
242,1154280.0,87.80650329589844,55.9066276550293
243,1154260.0,85.93852996826172,54.71728515625
244,1154240.0,88.62207794189453,56.4259033203125
245,1154220.0,94.32049560546875,60.05410385131836
246,1154200.0,99.74098205566406,63.505340576171875
247,1154180.0,99.85031127929688,63.574951171875
248,1154160.0,95.05693817138672,60.52299880981445
249,1154140.0,90.67435455322266,57.73259353637695
250,1154120.0,90.26868438720703,57.47430419921875
251,1154100.0,95.40972900390625,60.74761962890625
252,1154080.0,106.71778106689453,67.9474868774414
253,1154060.0,121.49153900146484,77.35397338867188
254,1154040.0,138.21292114257812,88.00052642822266
255,1154020.0,137.03399658203125,87.2499008178711
256,1154000.0,133.84487915039062,85.2193832397461
257,1153980.0,120.55429077148438,76.7572250366211
258,1153960.0,123.6829605102539,78.74925994873047
259,1153940.0,124.19891357421875,79.07776641845703
260,1153920.0,127.84418487548828,81.39871978759766
261,1153900.0,123.57685852050781,78.68170166015625
262,1153880.0,114.80241394042969,73.0949935913086
263,1153860.0,103.18191528320312,65.6961898803711
264,1153840.0,87.98744201660156,56.02183151245117
