frameNumber,"TIME, ms","TDEP, 0.1 in","ETIM, s","LMVL, V","UMVL, V","CFLA,  ","OCD, ft","RCMD, V","RCPP, in","CMRT, h","RCNU,  ","DCFL,  ","DFS,  ","DZER,  ","RHMD, V","HMRT, h","RHV, V","RLSW,  ","MNU,  ","S1CY,  ","S2CY,  ","RSCU,  ","RSTS,  ","UCFL,  ","CARC, mA","CMDV, V","CMPP, in","CNU,  ","HMDV, V","HV, V","LSWI,  ","SCUR,  ","SSTA,  ","RCMP, psi","RHPP, psi","RRPP, psi","CMPR, psi","HPPR, psi","RPPV, psi","SMSC,  ","CMCU, mA","HMCU, mA","CMLP, in" 
1837,17411660.0,891961.0,734.4010009765625,585.0,635.0,8.0,7433.00830078125,684.5750122070312,1.3285714387893677,0.6823768615722656,21.0,0.0,210.0,0.0,664.875,1.583219051361084,152.42919921875,1.0,25.0,26.0,30.0,164.0,2.0,143.0,182.02499389648438,684.5750122070312,0.8843596577644348,21.0,664.875,152.42919921875,1.0,164.0,2.0,490.8863830566406,2252.791015625,467.07684326171875,490.8863830566406,2252.791015625,467.07684326171875,254,3569.5,643.375,0.27885377407073975
1838,17412060.0,891961.0,734.801025390625,585.0,635.0,8.0,7433.00830078125,684.5750122070312,1.3285714387893677,0.6824968457221985,21.0,0.0,210.0,0.0,664.875,1.5833390951156616,152.42919921875,1.0,25.0,26.0,30.0,165.0,2.0,143.0,180.1750030517578,684.5750122070312,0.8843596577644348,21.0,664.875,152.42919921875,1.0,165.0,2.0,528.9816284179688,2228.9814453125,419.4577941894531,528.9816284179688,2228.9814453125,419.4577941894531,254,3423.0,653.125,0.27885377407073975
1839,17412460.0,891961.0,735.2009887695312,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3428571224212646,0.6826134920120239,21.0,0.0,210.0,0.0,664.875,1.5834558010101318,152.42919921875,1.0,25.0,26.0,30.0,166.0,2.0,143.0,180.6374969482422,679.6500244140625,0.898693859577179,21.0,664.875,152.42919921875,1.0,166.0,2.0,528.9816284179688,2276.6005859375,467.07684326171875,528.9816284179688,2276.6005859375,467.07684326171875,254,3520.5,655.25,0.30245304107666016
1840,17412860.0,891961.0,735.6010131835938,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3428571224212646,0.6826134920120239,21.0,0.0,210.0,0.0,664.875,1.5834558010101318,152.42919921875,1.0,25.0,26.0,30.0,166.0,2.0,143.0,180.6374969482422,679.6500244140625,0.898693859577179,21.0,664.875,152.42919921875,1.0,166.0,2.0,528.9816284179688,2276.6005859375,467.07684326171875,528.9816284179688,2276.6005859375,467.07684326171875,254,3520.5,655.25,0.30245304107666016
1841,17413260.0,891961.0,736.0009765625,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3428571224212646,0.6827340722084045,21.0,0.0,210.0,0.0,664.875,1.5835763216018677,152.42919921875,1.0,25.0,26.0,30.0,166.0,2.0,143.0,180.14999389648438,679.6500244140625,0.898693859577179,21.0,664.875,152.42919921875,1.0,166.0,2.0,524.2197265625,2205.171875,371.8387451171875,524.2197265625,2205.171875,371.8387451171875,254,3492.0,668.75,0.30245304107666016
1842,17413660.0,891961.0,736.4010009765625,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3492822647094727,0.6828540563583374,21.0,0.0,209.0,0.0,664.875,1.5836963653564453,152.42919921875,1.0,25.0,26.0,30.0,168.0,2.0,143.0,181.0500030517578,679.6500244140625,0.9051408767700195,21.0,664.875,152.42919921875,1.0,168.0,2.0,502.7341613769531,2311.346435546875,277.8537902832031,502.7341613769531,2311.346435546875,277.8537902832031,254,3591.0,667.5,0.3131101727485657
1843,17414060.0,891961.0,736.801025390625,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3571428060531616,0.6829707622528076,21.0,0.0,210.0,0.0,659.9500122070312,1.583812952041626,152.42919921875,1.0,25.0,26.0,30.0,167.0,2.0,143.0,181.5,679.6500244140625,0.9130281209945679,21.0,659.9500122070312,152.42919921875,1.0,167.0,2.0,514.6959228515625,2228.9814453125,300.4101867675781,514.6959228515625,2228.9814453125,300.4101867675781,254,3674.5,668.375,0.32618430256843567
1844,17414460.0,891961.0,737.2009887695312,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3636363744735718,0.6830907464027405,21.0,0.0,209.0,0.0,659.9500122070312,1.5839329957962036,152.42919921875,1.0,25.0,26.0,30.0,166.0,2.0,143.0,181.4875030517578,679.6500244140625,0.9195437431335449,21.0,659.9500122070312,152.42919921875,1.0,166.0,2.0,521.8729248046875,2311.346435546875,469.2413330078125,521.8729248046875,2311.346435546875,469.2413330078125,254,3637.0,671.125,0.33701494336128235
1845,17414860.0,891961.0,737.6010131835938,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3571428060531616,0.6832073926925659,21.0,0.0,210.0,0.0,659.9500122070312,1.5840497016906738,152.42919921875,1.0,25.0,26.0,30.0,164.0,2.0,143.0,181.6750030517578,679.6500244140625,0.9130281209945679,21.0,659.9500122070312,152.42919921875,1.0,164.0,2.0,490.8863830566406,2348.029052734375,514.6959228515625,490.8863830566406,2348.029052734375,514.6959228515625,254,3693.0,668.875,0.32618430256843567
1846,17415260.0,891961.0,738.0009765625,585.0,635.0,8.0,7433.00830078125,684.5750122070312,1.377990484237671,0.6833273768424988,21.0,0.0,209.0,0.0,659.9500122070312,1.584169626235962,152.42919921875,1.0,25.0,26.0,30.0,163.0,2.0,143.0,180.83749389648438,684.5750122070312,0.9339466691017151,21.0,659.9500122070312,152.42919921875,1.0,163.0,2.0,493.164794921875,2335.27001953125,493.164794921875,493.164794921875,2335.27001953125,493.164794921875,254,3594.5,676.0,0.3610529899597168
1847,17415660.0,891961.0,738.4010009765625,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.3714286088943481,0.683444082736969,21.0,0.0,210.0,0.0,664.875,1.5842863321304321,152.42919921875,1.0,25.0,26.0,30.0,163.0,2.0,143.0,181.3874969482422,679.6500244140625,0.9273624420166016,21.0,664.875,152.42919921875,1.0,163.0,2.0,490.8863830566406,2348.029052734375,490.8863830566406,490.8863830566406,2348.029052734375,490.8863830566406,254,3673.5,669.375,0.35004758834838867
1848,17416060.0,891961.0,738.801025390625,585.0,635.0,8.0,7433.00830078125,679.6500244140625,1.377990484237671,0.6835640668869019,21.0,0.0,209.0,0.0,664.875,1.5844062566757202,152.42919921875,1.0,25.0,26.0,30.0,164.0,2.0,143.0,180.66250610351562,679.6500244140625,0.9339466691017151,21.0,664.875,152.42919921875,1.0,164.0,2.0,502.7341613769531,2359.193359375,517.0882568359375,502.7341613769531,2359.193359375,517.0882568359375,254,3587.0,657.5,0.3610529899597168
1849,17416460.0,891961.0,739.2009887695312,585.0,635.0,8.0,7433.00830078125,684.5750122070312,1.3857142925262451,0.6836807131767273,21.0,0.0,210.0,0.0,659.9500122070312,1.5845229625701904,152.42919921875,1.0,25.0,26.0,30.0,165.0,2.0,143.0,181.10000610351562,684.5750122070312,0.9416967034339905,21.0,659.9500122070312,152.42919921875,1.0,165.0,2.0,490.8863830566406,2371.838623046875,514.6959228515625,490.8863830566406,2371.838623046875,514.6959228515625,254,3455.5,631.5,0.37404268980026245
