frameNumber,"TIME, ms","TDEP, 0.1 in","TENS_SL, lbf","DEPT_SL, 0.1 in"
197,16873260.0,852607.0,2153.0,852607.0
198,16874260.0,852607.0,2164.0,852607.0
199,16875260.0,852607.0,2168.0,852607.0
200,16876260.0,852607.0,2171.0,852607.0
201,16877260.0,852607.0,2162.0,852607.0
202,16878260.0,852607.0,2144.0,852607.0
203,16879260.0,852607.0,2145.0,852607.0
204,16880260.0,852607.0,2164.0,852607.0
205,16881260.0,852607.0,2163.0,852607.0
206,16882260.0,852607.0,2195.0,852607.0
207,16883260.0,852607.0,2187.0,852607.0
208,16884260.0,852607.0,2172.0,852607.0
209,16885260.0,852607.0,2152.0,852607.0
210,16886260.0,852607.0,2130.0,852607.0
211,16887260.0,852607.0,2124.0,852607.0
212,16888260.0,852607.0,2176.0,852607.0
213,16889260.0,852607.0,2181.0,852607.0
214,16890260.0,852607.0,2194.0,852607.0
215,16891260.0,852607.0,2193.0,852607.0
216,16892260.0,852607.0,2189.0,852607.0
217,16893260.0,852607.0,2184.0,852607.0
218,16894260.0,852607.0,2153.0,852607.0
219,16895260.0,852607.0,2169.0,852607.0
220,16896260.0,852607.0,2177.0,852607.0
221,16897260.0,852607.0,2169.0,852607.0
222,16898260.0,852607.0,2150.0,852607.0
223,16899260.0,852607.0,2178.0,852607.0
224,16900260.0,852607.0,2176.0,852607.0
225,16901260.0,852607.0,2180.0,852607.0
226,16902260.0,852607.0,2196.0,852607.0
227,16903260.0,852607.0,2172.0,852607.0
228,16904260.0,852607.0,2176.0,852607.0
229,16905260.0,852607.0,2174.0,852607.0
230,16906260.0,852607.0,2160.0,852607.0
231,16907260.0,852607.0,2181.0,852607.0
232,16908260.0,852607.0,2158.0,852607.0
233,16909260.0,852607.0,2163.0,852607.0
234,16910260.0,852607.0,2172.0,852607.0
235,16911260.0,852607.0,2194.0,852607.0
236,16912260.0,852607.0,2196.0,852607.0
237,16913260.0,852607.0,2212.0,852607.0
238,16914260.0,852607.0,2189.0,852607.0
239,16915260.0,852607.0,2159.0,852607.0
240,16916260.0,852607.0,2140.0,852607.0
241,16917260.0,852607.0,2143.0,852607.0
242,16918260.0,852607.0,2127.0,852607.0
243,16919260.0,852607.0,2145.0,852607.0
244,16920260.0,852607.0,2184.0,852607.0
245,16921260.0,852607.0,2202.0,852607.0
246,16922260.0,852607.0,2206.0,852607.0
247,16923260.0,852607.0,2176.0,852607.0
248,16924260.0,852607.0,2179.0,852607.0
249,16925260.0,852607.0,2145.0,852607.0
250,16926260.0,852607.0,2131.0,852607.0
251,16927260.0,852607.0,2136.0,852607.0
252,16928260.0,852607.0,2152.0,852607.0
253,16929260.0,852607.0,2155.0,852607.0
254,16930260.0,852607.0,2180.0,852607.0
255,16931260.0,852607.0,2189.0,852607.0
256,16932260.0,852607.0,2164.0,852607.0
257,16933260.0,852607.0,2157.0,852607.0
258,16934260.0,852607.0,2135.0,852607.0
259,16935260.0,852607.0,2171.0,852607.0
260,16936260.0,852607.0,2185.0,852607.0
261,16937260.0,852607.0,2203.0,852607.0
262,16938260.0,852607.0,2181.0,852607.0
263,16939260.0,852607.0,2157.0,852607.0
264,16940260.0,852607.0,2145.0,852607.0
265,16941260.0,852607.0,2139.0,852607.0
266,16942260.0,852607.0,2155.0,852607.0
267,16943260.0,852607.0,2179.0,852607.0
268,16944260.0,852607.0,2197.0,852607.0
269,16945260.0,852607.0,2202.0,852607.0
270,16946260.0,852607.0,2207.0,852607.0
271,16947260.0,852607.0,2196.0,852607.0
272,16948260.0,852607.0,2170.0,852607.0
273,16949260.0,852607.0,2171.0,852607.0
274,16950260.0,852607.0,2162.0,852607.0
275,16951260.0,852607.0,2151.0,852607.0
276,16952260.0,852607.0,2150.0,852607.0
277,16953260.0,852607.0,2153.0,852607.0
278,16954260.0,852607.0,2147.0,852607.0
279,16955260.0,852607.0,2143.0,852607.0
280,16956260.0,852607.0,2132.0,852607.0
281,16957260.0,852607.0,2175.0,852607.0
282,16958260.0,852607.0,2188.0,852607.0
283,16959260.0,852607.0,2175.0,852607.0
284,16960260.0,852607.0,2161.0,852607.0
285,16961260.0,852607.0,2159.0,852607.0
286,16962260.0,852607.0,2142.0,852607.0
287,16963260.0,852607.0,2127.0,852607.0
288,16964260.0,852607.0,2153.0,852607.0
289,16965260.0,852607.0,2193.0,852607.0
290,16966260.0,852607.0,2185.0,852607.0
291,16967260.0,852607.0,2183.0,852607.0
292,16968260.0,852607.0,2189.0,852607.0
293,16969260.0,852607.0,2162.0,852607.0
294,16970260.0,852607.0,2152.0,852607.0
295,16971260.0,852607.0,2154.0,852607.0
296,16972260.0,852607.0,2137.0,852607.0
297,16973260.0,852607.0,2163.0,852607.0
298,16974260.0,852607.0,2180.0,852607.0
299,16975260.0,852607.0,2212.0,852607.0
300,16976260.0,852607.0,2180.0,852607.0
301,16977260.0,852607.0,2168.0,852607.0
302,16978260.0,852607.0,2162.0,852607.0
303,16979260.0,852607.0,2117.0,852607.0
304,16980260.0,852613.25,2123.0,852613.0
305,16981260.0,852621.0,2088.0,852621.0
306,16982260.0,852641.0,2107.0,852641.0
307,16983260.0,852697.25,2036.0,852697.0
308,16984260.0,852758.5625,1942.0,852756.0
309,16985260.0,852818.9375,1874.0,852817.0
310,16986260.0,852879.0625,1921.0,852878.0
311,16987260.0,852941.4375,1894.0,852941.0
312,16988260.0,853002.75,1966.0,853002.0
313,16989260.0,853069.1875,1948.0,853069.0
314,16990260.0,853150.4375,1922.0,853147.0
315,16991260.0,853234.5,1910.0,853231.0
316,16992260.0,853332.0,1896.0,853330.0
317,16993260.0,853441.5,1870.0,853441.0
318,16994260.0,853551.1875,1882.0,853550.0
319,16995260.0,853667.0,1862.0,853663.0
320,16996260.0,853793.5,1866.0,853789.0
321,16997260.0,853920.1875,1887.0,853917.0
322,16998260.0,854045.0,1860.0,854043.0
323,16999260.0,854171.75,1867.0,854171.0
324,17000260.0,854300.1875,1844.0,854299.0
325,17001260.0,854425.0,1848.0,854421.0
326,17002260.0,854552.1875,1868.0,854548.0
327,17003260.0,854679.25,1878.0,854676.0
328,17004260.0,854805.0,1874.0,854803.0
329,17005260.0,854932.1875,1871.0,854932.0
330,17006260.0,855059.8125,1905.0,855059.0
331,17007260.0,855186.0,1865.0,855181.0
332,17008260.0,855313.1875,1860.0,855309.0
333,17009260.0,855440.5,1879.0,855438.0
334,17010260.0,855567.0,1900.0,855564.0
335,17011260.0,855697.0,1882.0,855697.0
336,17012260.0,855833.5,1875.0,855833.0
337,17013260.0,855969.0,1852.0,855964.0
338,17014260.0,856105.0,1825.0,856100.0
339,17015260.0,856241.5,1868.0,856238.0
340,17016260.0,856377.0,1844.0,856375.0
341,17017260.0,856513.0,1855.0,856513.0
342,17018260.0,856650.5,1888.0,856650.0
343,17019260.0,856785.0,1873.0,856781.0
344,17020260.0,856922.0,1865.0,856917.0
345,17021260.0,857058.1875,1855.0,857055.0
346,17022260.0,857193.0,1840.0,857191.0
347,17023260.0,857329.0,1874.0,857329.0
